name,category,official_url,official_evidence,not_proven,fit,confidence,status,notes
NextMark,media planning/list directory,https://www.nextmark.com/media-finder/,Media Finder says it searches 100000+ media programs across postal lists telephone package inserts email SMS and display.,Directory presence does not prove ownership or performance.,High as discovery and list intelligence layer.,high,current,RAW_OFFICIAL_FETCHES/nextmark_media_finder.html
Worldata,data services/email/media,https://www.worldata.com/,Homepage title identifies customer acquisition email production data services and marketing insights.,Homepage alone does not prove list rental mechanics or inventory ownership.,Investigate as data/media discovery candidate.,medium,current,Retrieved with explicit unverified TLS context.
ListGiant,list/data provider,https://www.listgiant.com/,Official site exposes B2B and consumer email lists direct mail data leads custom audiences hygiene and deployment.,Marketing claims require source permission freshness samples and suppression review.,Use cautiously for data or direct mail research; not a blind rented-email substitute.,medium,current,Official HTML captured.
Paved,newsletter sponsorship marketplace,https://www.paved.com/advertisers,Advertiser page describes 3000+ premium audiences direct partnerships dedicated placements native/PPC ads verified data reporting bot filtering and no minimum spend.,Terms say publisher descriptions are not performance guarantees.,Strong newsletter sponsorship discovery and testing lane.,high,current,Advertiser page and terms captured.
Swapstack,newsletter sponsorship/affiliate marketplace,https://swapstack.co/,Official pages describe newsletter sponsorship at scale publisher access and affiliate listing mechanics.,Public publisher counts and open-rate claims are not independently validated here.,Useful for newsletter sponsorship and affiliate-program discovery.,high,current,Pricing page states publishers free and affiliate listing $50/mo with one-month trial.
Udimi,solo-ad marketplace,https://www.udimi.com/buy-solo-ads,Official page defines solo ads and shows seller profiles ID verification reviews niches and CPC offers.,Seller claims and testimonials do not establish permission or buyer quality.,Practical marketplace test lane with strict seller screening.,high,current,Official buy page captured.
impact.com,partnership management/network,https://impact.com/,Official site describes affiliate creator influencer referral publisher and performance partnerships with contract pay track protect and optimize features.,Platform presence does not prove email inventory or partner quality.,Good partnership recruitment and measurement layer.,high,current,Official homepage and terms captured.
PartnerStack,partner ecosystem/affiliate platform,https://partnerstack.com/,Official site describes affiliates publishers creators influencers recruitment activation tracking and commissions.,Does not prove traditional list rental or solo email inventory.,Good B2B partnership channel; not a list broker.,high,current,Official homepage captured.
Everflow,partner marketing platform/marketplace,https://www.everflow.io/,Official site describes publisher discovery email/media-buying partner types and CPM CPC or lump-sum payment options.,Marketplace access does not prove permission or performance.,Strong infrastructure for controlled partner/media buys.,high,current,Official homepage captured.
Awin,affiliate network,https://www.awin.com/,Official site describes advertisers creators affiliate partners agencies and global platform.,Network role does not prove dedicated email access.,Useful publisher recruitment layer.,high,current,Official homepage captured.
CJ,affiliate/partnership network,https://www.cj.com/,Official site describes advertisers publishers agencies influencers leads and partnership ecosystem.,Network scale does not prove dedicated email inventory.,Useful performance-partnership layer.,high,current,Official homepage captured.
TUNE,partner marketing platform,https://www.tune.com/,Official title identifies partner marketing platform.,Homepage alone does not establish owned audiences or media inventory.,Infrastructure candidate only.,medium,current,Official homepage captured.
ClickBank,affiliate marketplace/network,https://www.clickbank.com/,Official title identifies top affiliate marketing programs.,Platform title does not prove list quality or email permission.,Potential affiliate distribution channel.,medium,current,Official homepage captured.
MaxBounty,performance marketing network,https://www.maxbounty.com/,Official title identifies performance marketing network.,Network title does not prove email or list inventory.,Potential CPA channel requiring traffic-source clearance.,medium,current,Official homepage captured.
