source_id,url,source_type,official_or_regulator,local_artifact,evidence_observed,verification_status,notes
S001,https://www.nextmark.com/media-finder/,official provider page,yes,RAW_OFFICIAL_FETCHES/nextmark_media_finder.html,Media Finder says it searches 100000+ media programs and includes postal telephone package insert email SMS and display.,verified_fetch,HTTP 200
S002,https://www.nextmark.com/media-planning/pricing/,official pricing page,yes,RAW_OFFICIAL_FETCHES/nextmark_pricing.html,Live pricing page exposes timed-access plans of $159/$318/$531/$706 per month for 100/250/500/1000 shared minutes and unlimited plans from $495 for one user to $3167 for 20 users.,verified_fetch,Current public SaaS pricing; list-level rental prices remain separate
S003,https://www.worldata.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/worldata.html,Homepage title identifies customer acquisition email production data services and marketing insights.,verified_fetch,Retrieved with unverified TLS context
S004,https://www.listgiant.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/listgiant.html,Site exposes consumer and B2B list categories direct mail data leads custom audiences hygiene and deployment.,verified_fetch,HTTP 200
S005,https://listgiant.com/email-lists/,official provider page,yes,RAW_OFFICIAL_FETCHES/listgiant_email.html,Email page claims targeted updated and verified lists with segmentation.,verified_fetch,Claims require due diligence
S006,https://www.paved.com/advertisers,official provider page,yes,RAW_OFFICIAL_FETCHES/paved_advertisers.html,Advertiser page says 3000+ premium audiences direct partnerships dedicated placements PPC/native ads verified data reporting bot filtering and no minimum.,verified_fetch,HTTP 200
S007,https://www.paved.com/advertiser-terms,official terms,yes,RAW_OFFICIAL_FETCHES/paved_terms.html,Terms define publisher subscriber lists state descriptions are not guarantees and require tracking codes.,verified_fetch,Review current acceptance terms
S008,https://swapstack.co/,official provider page,yes,RAW_OFFICIAL_FETCHES/swapstack.html,Homepage describes newsletter sponsorship at scale and publisher marketplace.,verified_fetch,HTTP 200
S009,https://swapstack.co/pricing,official pricing page,yes,RAW_OFFICIAL_FETCHES/swapstack_pricing.html,Pricing page says publishers are free and affiliate listing is $50/month with one-month trial plus reporting/tracking.,verified_fetch,HTTP 200
S010,https://www.udimi.com/buy-solo-ads,official marketplace page,yes,RAW_OFFICIAL_FETCHES/udimi_buy.html,Marketplace defines solo ads and shows sellers ID verification ratings reviews niches and CPC prices.,verified_fetch,HTTP 200
S011,https://impact.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/impact.html,Performance partnership platform with affiliate creator influencer referral publisher and tracking features.,verified_fetch,HTTP 200
S012,https://impact.com/legal/terms,official terms,yes,RAW_OFFICIAL_FETCHES/impact_terms.html,Terms prohibit harvesting contact information for unsolicited email.,verified_fetch,Terms revision shown as 2018
S013,https://partnerstack.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/partnerstack.html,Partner ecosystem platform describes affiliates publishers creators influencers recruitment tracking and commissions.,verified_fetch,HTTP 200
S014,https://www.everflow.io/,official provider page,yes,RAW_OFFICIAL_FETCHES/everflow.html,Site describes publisher discovery email/media-buying partner types and CPM/CPC/lump-sum payment options.,verified_fetch,HTTP 200
S015,https://www.awin.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/awin.html,Site describes advertisers creators affiliate partners agencies and global platform.,verified_fetch,HTTP 200
S016,https://www.cj.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/cj.html,Site describes advertisers publishers agencies influencers leads and partnerships.,verified_fetch,HTTP 200
S017,https://www.ftc.gov/business-guidance/resources/can-spam-act-compliance-guide-business,regulator guidance,yes,RAW_OFFICIAL_FETCHES/ftc_can_spam.html,FTC CAN-SPAM compliance guide.,verified_fetch,Use as regulatory reference
S018,https://ico.org.uk/for-organisations/direct-marketing-and-privacy-and-electronic-communications/,regulator guidance,yes,RAW_OFFICIAL_FETCHES/ico_direct_marketing.html,ICO direct marketing and electronic communications guidance.,verified_fetch,UK/EU operational reference
S019,https://www.ftc.gov/business-guidance/advertising-marketing/endorsements-influencers-reviews,regulator guidance,yes,RAW_OFFICIAL_FETCHES/ftc_endorsement.html,FTC endorsements influencers and reviews guidance.,verified_fetch,Affiliate/creator disclosure reference
S020,https://www.tune.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/tune.html,Partner marketing platform title.,verified_fetch,Insufficient evidence for list inventory
S021,https://www.clickbank.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/clickbank.html,Affiliate marketing programs title.,verified_fetch,Not list-owner evidence
S022,https://www.maxbounty.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/maxbounty.html,Performance marketing network title.,verified_fetch,Not list-owner evidence
S023,https://www.performcb.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/performcb.html,Performance-based user acquisition title.,verified_fetch,Not list-owner evidence
S024,https://www.anteriad.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/meritdirect.html,Homepage identifies audience identification and activation demand generation performance marketing and analytics/intelligence.,verified_fetch,B2B/data evidence only
S025,https://passionfroot.me/,official provider page,yes,RAW_OFFICIAL_FETCHES/passionfroot.html,Homepage describes creator-led GTM creator discovery matched to ICP and campaign tracking.,verified_fetch,Not newsletter inventory evidence
S026,https://www.flexoffers.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/flexoffers.html,Official title identifies performance-based marketing.,verified_fetch,Not list-owner evidence
S027,https://www.shareasale.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/shareasale.html,Official page says ShareASale is now Awin.,verified_fetch,Transition context; use Awin as current network reference
S028,https://www.ana.net/,official association page,yes,RAW_OFFICIAL_FETCHES/ana.html,Official homepage identifies the Association of National Advertisers.,verified_fetch,Discovery and standards layer only
S029,https://dmaw.org/,official association page,yes,RAW_OFFICIAL_FETCHES/dmaw.html,Official homepage identifies the Direct Marketing Association of Washington.,verified_fetch,Discovery and professional-networking layer only
S030,https://lscmarketinggroup.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/lscmarketinggroup.html,Official navigation exposes data acquisition/list brokerage list rental fulfillment modeling enhancement media strategy and campaign execution.,verified_fetch,List Services domain resolves here
S031,https://www.usadata.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/usadata.html,Official title identifies data-driven marketing and audience intelligence with targeting and omnichannel execution.,verified_fetch,Data/audience evidence only
S032,https://www.exactdata.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/exactdata.html,Official page identifies mailing lists and leads and exposes consumer lists direct mail email marketing data licensing and enrichment.,verified_fetch,Data/list evidence; permission requires review
S033,https://www.data-axle.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/data_axle.html,Official site describes business/consumer data direct mail prospect lists permission-based acquisition email licensing and hygiene/enhancement.,verified_fetch,Data/activation evidence only
S034,https://wiland.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/wiland.html,Official site describes modeled audiences from consumer spending and intent data prospect targeting and enhancement.,verified_fetch,Modeled audience is not publisher list inventory
S035,https://www.epsilon.com/us,official provider page,yes,RAW_OFFICIAL_FETCHES/epsilon.html,Official site describes identity resolution consumer marketing data acquisition and cross-channel activation.,verified_fetch,Enterprise data evidence only
S036,https://www.acxiom.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/acxiom.html,Official site describes connected identity smarter engagement and prospect and repeat-customer growth.,verified_fetch,Identity/data evidence only
S037,https://www.listsource.com/homepage/index.html,official provider page,yes,RAW_OFFICIAL_FETCHES/listsource_corelogic.html,Official page describes homeowner property and demographic prospect lists direct-marketing leads and daily updates.,verified_fetch,ListSource page resolves under CoreLogic
S038,https://www.experian.com/marketing/,official provider page,yes,RAW_OFFICIAL_FETCHES/experian_marketing.html,Official page describes consumer data identity audience segmentation activation and cross-device targeting.,verified_fetch,Enterprise data evidence only
S039,https://srds.com/direct-marketing-lists/,official directory page,yes,RAW_OFFICIAL_FETCHES/srds_direct_marketing.html,"Official page describes more than 65000 direct-marketing list opportunities with counts, base rental prices, requirements, and policies.",verified_fetch,Direct HTTP verification returned 200; status=current
S040,https://www.esteemarketing.com/our-company-direct-marketing-list-services/,official provider page,yes,RAW_OFFICIAL_FETCHES/esteemarketing_emg.html,"Official pages describe list brokerage, list management, campaign/donor analysis, mail planning, insert media, national promotion of client lists, and controlled exchanges.",verified_fetch,Direct HTTP verification returned 200; status=current
S041,https://conraddirect.com/services/lists/,official provider page,yes,RAW_OFFICIAL_FETCHES/conrad_direct_lists.html,"Official list-services page describes list brokerage, list management, cooperative databases, donor/member/customer files, and review of rental orders.",verified_fetch,Direct HTTP verification returned 200; status=current
S042,https://www.geonmedia.com/list-management/,official provider page,yes,RAW_OFFICIAL_FETCHES/geon_media_list_management.html,"Official page describes acting as agent for list owners, finding marketers to rent files while owners retain ownership/control, plus processing and hygiene.",verified_fetch,Direct HTTP verification returned 200; status=current
S043,https://www.directmail.com/directory/services/list_management/,official provider page,yes,RAW_OFFICIAL_FETCHES/directmail_list_management.html,Official page states it offers list management and brokerage and recommends brokers/data compilers for precise audiences.,verified_fetch,Direct HTTP verification returned 200; status=current
S044,https://www.amerilist.com/list-services-compiled-direct-response-lists,official provider page,yes,RAW_OFFICIAL_FETCHES/amerilist_direct_response.html,"Official page describes compiled direct-response lists, list management, brokerage, aggregation, response lists, hygiene, append, and enhancement.",verified_fetch,Direct HTTP verification returned 200; status=current
S045,http://www.globaldirectmarketing.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/global_direct.html,"Official site describes full-service list management and direct-response postal, opt-in email, and telemarketing lists with financial/investor emphasis.",verified_fetch,Direct HTTP verification returned 200; status=verify-before-use
S046,http://www.responsedynamicsinc.com/list.html,official provider page,yes,RAW_OFFICIAL_FETCHES/response_dynamics.html,"Official page identifies The Best Lists as its in-house list company and describes brokerage, management, clearance/order coordination, delivery follow-up, and service-bureau support.",verified_fetch,Direct HTTP verification returned 200; status=verify-before-use
S047,https://dralists.com/lists,official provider page,yes,RAW_OFFICIAL_FETCHES/dra_lists.html,"Official page describes full-service brokerage, 60000+ specialty/subscription/response lists, research, negotiation, and reseller support.",verified_fetch,Direct HTTP verification returned 200; status=current
S048,https://www.keymarketingcorp.com/list_brokerage,official provider page,yes,RAW_OFFICIAL_FETCHES/key_marketing_advantage.html,"Official page describes list brokerage, list management, data enhancement/licensing, database development, modeling, merge/purge, segmentation, response analysis, and deployment/tracking.",verified_fetch,Direct HTTP verification returned 200; status=current
S049,https://www.keyacquisition.com/what-we-do/,official provider page,yes,RAW_OFFICIAL_FETCHES/kap_key_acquisition.html,"Official page describes list brokerage for appeals, premiums, sponsorship/continuity, event attendees, major-donor prospects, email and international, plus management, hygiene, analytics, and digital media.",verified_fetch,Direct HTTP verification returned 200; status=current
S050,https://www.wsponton.com/distinct-marketing-solutions/,official provider page,yes,RAW_OFFICIAL_FETCHES/ws_ponton.html,"Official page describes exclusive postal data, opt-in email marketing, telemarketing data, list brokerage, online display, and audience evaluation across demographic/geographic factors.",verified_fetch,Direct HTTP verification returned 200; status=current
S051,https://northamericandirectmarketing.com/services,official provider page,yes,RAW_OFFICIAL_FETCHES/north_american_direct.html,"Official page describes management of 200+ Canadian/U.S. business and consumer lists, postal/email lists, hygiene, merge/purge, package inserts, co-op, and alternative media.",verified_fetch,Direct HTTP verification returned 200; status=current
S052,https://www.mccarthymediagroup.com/brokerage-services.html,official provider page,yes,RAW_OFFICIAL_FETCHES/mccarthy_media.html,"Official page describes list brokerage, media planning, strategy, analytics, direct mail, email, insert media, response analysis, and count requests.",verified_fetch,Direct HTTP verification returned 200; status=current
S053,https://lists.infocusmarketing.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/infocus_lists.html,"Official site describes list management for associations, businesses, and nonprofits, rental-income optimization, database control/security, and direct-mail/email service.",verified_fetch,Direct HTTP verification returned 200; status=verify-before-use
S054,https://belardiwong.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/belardi_wong.html,"Official site describes cross-channel strategy, direct mail/offline media, digital media, acquisition, retention, analytics, and programmatic/triggered direct mail.",verified_fetch,Direct HTTP verification returned 200; status=current
S055,https://outcomemedia.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/outcome_media.html,Current official site is live; the former Worldata URL redirects into an Outcome Media-branded environment with email production/acquisition and data-service signals.,verified_fetch,Direct HTTP verification returned 200; status=verify-before-use
S056,https://theagora.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/agora_companies.html,Official corporate publisher site is live and represents the current Agora Companies publisher entity.,verified_fetch,Direct HTTP verification returned 200; status=current
S057,https://lists.nextmark.com/market?page=order/online/datacard&id=413017,official provider page,yes,RAW_OFFICIAL_FETCHES/bottom_line_datacard.html,Current NextMark datacard evidence identifies a Bottom Line/Agora Financial or former-Boardroom lineage in the list-rental ecosystem.,verified_fetch,Direct HTTP verification returned 200; status=verify-before-use
S058,https://www.10dollarsoloads.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/10dollar_solo_ads.html,"Official site publishes niche/geographic targeting, tracking claims, and low-cost prospect-reach packages.",verified_fetch,Direct HTTP verification returned 200; status=verify-before-use
S059,https://www.easysoloads.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/easy_solo_ads.html,"Official site publishes tiered packages, niche/geographic targeting, and third-party tracking claims.",verified_fetch,Direct HTTP verification returned 200; status=verify-before-use
S060,https://trafficforme.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/trafficforme.html,"Official site describes managed email traffic, niche packages, CPC delivery, and proprietary filtering claims.",verified_fetch,Direct HTTP verification returned 200; status=high-risk
S061,https://soloadsx.com/directory/,official association page,yes,RAW_OFFICIAL_FETCHES/soloadsx_directory.html,"Official directory describes vendor discovery, niche filters, hand-picked/proven-vendor positioning, and direct contact.",verified_fetch,Direct HTTP verification returned 200; status=current
S062,https://www.myleadgensecret.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/my_lead_gen_secret.html,"Official sales page describes permission-based lead collection, downloadable leads, and a done-for-you mailing system.",verified_fetch,Direct HTTP verification returned 200; status=verify-before-use
S063,https://gen3marketing.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/gen3_marketing.html,"Official site describes affiliate, influencer, paid-media, finance, and full-funnel performance services.",verified_fetch,Direct HTTP verification returned 200; status=current
S064,https://www.accelerationpartners.com/,official provider page,yes,RAW_OFFICIAL_FETCHES/acceleration_partners.html,"Official site describes affiliate/influencer management for 200+ brands, content, retail media, performance PR, loyalty, and sub-affiliate partnerships.",verified_fetch,Direct HTTP verification returned 200; status=current
S065,https://www.dma.org.uk/,official association page,yes,RAW_OFFICIAL_FETCHES/dma_uk.html,"Official association site provides member discovery, councils, events, legal/compliance resources, research, training, and the DMA Code.",verified_fetch,Direct HTTP verification returned 200; status=current
S066,https://www.fedma.org/,official association page,yes,RAW_OFFICIAL_FETCHES/fedma.html,Official site represents a European data and marketing association/network with policy and practitioner resources.,verified_fetch,Direct HTTP verification returned 200; status=current
S067,https://www.nemoa.org/,official association page,yes,RAW_OFFICIAL_FETCHES/nemoa.html,Official site describes a multichannel direct-marketing and ecommerce community with summits and practitioner/vendor networking.,verified_fetch,Direct HTTP verification returned 200; status=current
S068,https://www.iab.com/,official association page,yes,RAW_OFFICIAL_FETCHES/iab.html,"Official site provides digital advertising standards, committees, events, research, and publisher/ad-tech networking.",verified_fetch,Direct HTTP verification returned 200; status=current
S069,https://www.mediapost.com/,official association page,yes,RAW_OFFICIAL_FETCHES/mediapost.html,"Official site presents marketing publications and events covering email, performance, planning/buying, data/programmatic, and media.",verified_fetch,Direct HTTP verification returned 200; status=current
S070,https://www.melissa.com/direct/mailing-lists-sales-leads,official provider page,yes,RAW_OFFICIAL_FETCHES/melissa_lists.html,"Official page describes consumer, business, homeowner, new-mover, property, specialty, and professional mailing-list/data products.",verified_fetch,Direct HTTP verification returned 200; status=current
S071,https://www.beehiiv.com/ad-network,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/beehiiv_ad_network.html,"Official page describes SSP-style sponsored links, publisher acceptance/rejection, verified clicks/opens, and advertiser access to thousands of newsletters.",verified_fetch,Direct HTTP verification returned 200
S072,https://letterwell.co/advertisers-faqs/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/letterwell_advertisers.html,"Official advertiser FAQ describes newsletter discovery, filters, Instant Booking, publisher-set prices, and escrow-style release after campaign conditions.",verified_fetch,Direct HTTP verification returned 200
S073,https://www.hecto.io/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/hecto.html,"Official site describes creator/newsletter ad buying, selling, campaign management, messaging, checkout, and a 5% platform fee with no monthly fee.",verified_fetch,Direct HTTP verification returned 200
S074,https://sponsorgap.com/,official platform page,yes,RAW_OFFICIAL_FETCHES/sponsorgap.html,"Official site describes sponsor intelligence, creator listings, outreach tools, inbound ad slots, and published $39/$89/$199 monthly plans.",verified_fetch,Direct HTTP verification returned 200
S075,https://kreatorstack.com/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/kreatorstack.html,"Official homepage describes AI-assisted newsletter discovery, creator profiles, deal pipeline, pricing benchmarks, and private-beta listings.",verified_fetch,Direct HTTP verification returned 200; status=private-beta; verify operational currency before purchase
S076,https://www.liveintent.com/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/liveintent.html,Official domain presents marketer and publisher email advertising/monetization solutions and people-based advertising across publisher inventory.,blocked_manual_recheck,Direct HTTP verifier returned 403; official page/capability was reported from live first-party review; manual/browser recheck required
S077,https://www.jeeng.com/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/jeeng.html,"Official domain presents publisher-led email monetization, personalization, recommendations, and ad products.",blocked_manual_recheck,Direct HTTP verifier returned 403; official page/capability was reported from live first-party review; manual/browser recheck required
S078,https://www.smartbrief.com/advertise,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/smartbrief_advertise.html,"Official advertising page describes newsletter sponsorships, dedicated sends, display, content syndication, special reports, and audience targeting; claims 6M+ readers/day.",verified_fetch,Direct HTTP verification returned 200
S079,https://www.searchenginejournal.com/advertise/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/search_engine_journal_advertise.html,"Official advertising page describes dedicated email, newsletters, sponsored content, webinars, lead-gen, and media inventory; identifies managers and purchasing decision-makers.",verified_fetch,Direct HTTP verification returned 200
S080,https://www.b2bmarketing.net/growth-solutions/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/b2b_marketing_growth.html,"Official page describes B2B marketer decision-maker reach and Intelligence, Connect, and Reach programs including content syndication, research, podcasts, webinars, and events.",verified_fetch,Direct HTTP verification returned 200
S081,https://www.marketingdive.com/advertise/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/marketing_dive_advertise.blocked.txt,Official advertising page positions inventory before marketers and brand managers with newsletter and gated media-kit access.,blocked_manual_recheck,Direct HTTP verifier returned 403; official page/capability was reported from live first-party review; manual/browser recheck required
S082,https://www.ciodive.com/advertise/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/cio_dive_advertise.blocked.txt,Official advertising page positions inventory before IT executives with newsletter and media-kit contact path.,blocked_manual_recheck,Direct HTTP verifier returned 403; official page/capability was reported from live first-party review; manual/browser recheck required
S083,https://www.retaildive.com/advertise/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/retail_dive_advertise.blocked.txt,Official advertising page positions inventory before retail executives and exposes newsletter/media-kit sales access.,blocked_manual_recheck,Direct HTTP verifier returned 403; official page/capability was reported from live first-party review; manual/browser recheck required
S084,https://www.hrdive.com/advertise/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/hr_dive_advertise.blocked.txt,Official advertising page positions inventory before HR/workforce executives and exposes newsletter/media-kit sales access.,blocked_manual_recheck,Direct HTTP verifier returned 403; official page/capability was reported from live first-party review; manual/browser recheck required
S085,https://www.healthcaredive.com/advertise/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/healthcare_dive_advertise.blocked.txt,Official advertising page positions inventory before hospital and healthcare executives and exposes newsletter/media-kit sales access.,blocked_manual_recheck,Direct HTTP verifier returned 403; official page/capability was reported from live first-party review; manual/browser recheck required
S086,https://www.restaurantdive.com/advertise/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/restaurant_dive_advertise.blocked.txt,Official advertising page positions inventory before restaurant/dining executives and exposes newsletter/media-kit sales access.,blocked_manual_recheck,Direct HTTP verifier returned 403; official page/capability was reported from live first-party review; manual/browser recheck required
S087,https://www.chiefmarketer.com/advertise/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/chief_marketer_advertise.html,"Official page describes a broad marketer/agency audience and offers a gated media kit, events, research, and advertising services.",verified_fetch,Direct HTTP verification returned 200
S088,https://digiday.com/advertise/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/digiday_advertise.html,"Official page describes advertising/sponsorship opportunities and daily email access for media, marketing, and digital-business professionals.",verified_fetch,Direct HTTP verification returned 200
S089,https://morningbrewinc.com/advertise-with-us,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/morning_brew_advertise.html,"Official page describes multiple newsletter brands, direct creator/editor partnerships, native advertising, and multiplatform storytelling.",verified_fetch,Direct HTTP verification returned 200
S090,https://www.thedailyupside.com/advertise-with-us/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/daily_upside_advertise.html,"Official advertising page describes newsletter campaigns and reports subscriber figures for Daily Upside, Advisor Upside, and ETF Upside.",verified_fetch,Direct HTTP verification returned 200
S091,https://advertising.theskimm.com/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/theskimm_advertise.html,"Official advertising site reports reach, demographic and household-decision-maker audience claims plus newsletter, social, video, web, targeting, and custom-content solutions.",verified_fetch,Direct HTTP verification returned 200
S092,https://advertising.nytimes.com/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/nyt_advertising.html,"Official advertising portal lists newsletter, audio, display, print, custom content, audience insights, and targeting solutions.",verified_fetch,Direct HTTP verification returned 200
S093,https://advertising.hearstmagazines.com/advertising,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/hearst_advertising.html,"Official advertising page describes newsletter, print, social, video, commerce, branded content, and targeting across lifestyle, food, automotive, home, travel, and women’s brands.",verified_fetch,Direct HTTP verification returned 200
S094,https://www.theatlantic.com/advertising/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/atlantic_advertising.html,"Official advertising page offers audience insights, multi-platform solutions, digital display, and a 2026 media kit.",verified_fetch,Direct HTTP verification returned 200
S095,https://mediakit.outsideinc.com/p/1,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/outside_media_kit.html,"Official media kit describes outdoor brands, active-lifestyle audiences, media, experiences, events, mapping, and newsletter inventory.",verified_fetch,Direct HTTP verification returned 200
S096,https://www.flyingmag.com/advertising-page/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/flying_advertising.html,"Official advertising page describes qualified-lead generation, aviation branded content, sponsorships, video, podcasts, web, social, and audience properties.",verified_fetch,Direct HTTP verification returned 200
S097,https://www.farmanddairy.com/advertise,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/farm_and_dairy_advertise.html,"Official advertising page describes print, online, classifieds, auction coverage, and subscription access to rural agricultural audiences.",verified_fetch,Direct HTTP verification returned 200
S098,https://www.americanrifleman.org/advertising/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/american_rifleman_advertising.html,"Official advertising page describes firearm, shooting, hunting, and Second Amendment publication inventory with sales contacts.",verified_fetch,Direct HTTP verification returned 200
S099,https://www.nrafamily.org/advertising/,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/nra_family_advertising.html,Official advertising page describes the NRA Family publication advertising path and sales contacts.,verified_fetch,Direct HTTP verification returned 200
S100,https://www.healthlinemedia.com/advertise,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/healthline_advertise.html,"Official page describes affiliate, digital, programmatic, and newsletter advertising, plus a published $25,000 minimum investment and restricted pricing models.",verified_fetch,Direct HTTP verification returned 200
S101,https://www.people.inc/advertising,official publisher/media page,yes,RAW_OFFICIAL_FETCHES/people_inc_advertising.html,"Official page describes consumer brands, content solutions, media planning/buying, commerce, licensing, and direct advertising with language about consumer action.",verified_fetch,Direct HTTP verification returned 200
S102,https://mailcon.com/sponsors-and-exhibitors/,official event/community page,yes,RAW_OFFICIAL_FETCHES/mailcon_sponsors.html,"Official page lists email sponsors/exhibitors, speakers, attendees, sponsorship packages, and networking access.",verified_fetch,Direct HTTP verification returned 200
S103,https://www.affiliatesummit.com/,official event/community page,yes,RAW_OFFICIAL_FETCHES/affiliate_summit.html,"Official site describes events connecting affiliates, advertisers, ecommerce sellers, networks, publishers, and technology providers.",verified_fetch,Direct HTTP verification returned 200
S104,https://www.leadscon.com/event/lead-to-customer-conference-2026/,official event/community page,yes,RAW_OFFICIAL_FETCHES/leadscon_2026.html,"Official event page describes brands, agencies, technology platforms, suppliers, networking, and lead-generation ecosystem access.",verified_fetch,Direct HTTP verification returned 200
